Stations_id,Bezugszeitraum,Jan.,Feb.,März,Apr.,Mai,Jun.,Jul.,Aug.,Sept.,Okt.,Nov.,Dez.,Jahr
1717,1981-2010,59,45,50,40,57,72,66,71,51,52,54,60,678
1718,1981-2010,39,35,40,33,57,56,56,61,46,40,42,48,553
1719,1981-2010,44,36,40,34,49,70,56,53,47,40,40,48,558
1722,1981-2010,71,68,70,58,71,88,91,72,72,73,74,82,889
1723,1981-2010,67,69,73,64,74,62,77,70,67,64,74,86,846
1724,1981-2010,31,29,39,37,62,54,65,54,46,34,45,44,538
1725,1981-2010,41,40,46,46,62,71,80,66,51,40,51,50,644
1727,1981-2010,145,117,114,84,110,107,106,86,88,115,113,155,1339
1728,1981-2010,65,50,55,41,65,74,81,65,60,59,56,71,739
1729,1981-2010,58,50,54,40,64,74,86,67,58,56,55,65,727
1730,1981-2010,123,103,114,70,103,110,127,118,102,88,107,135,1301
1731,1981-2010,134,106,119,73,91,102,112,106,99,92,103,134,1270
1732,1981-2010,56,54,69,69,102,117,121,115,96,73,72,73,1016
1734,1981-2010,81,78,105,93,128,172,180,177,118,86,94,89,1403
1735,1981-2010,109,91,99,60,88,100,120,103,85,81,89,110,1136
1736,1981-2010,64,53,59,42,51,69,73,80,61,56,62,67,737
1741,1981-2010,51,42,48,36,51,67,69,63,49,46,50,55,627
1742,1981-2010,98,94,105,73,102,93,104,84,94,103,94,109,1152
1744,1981-2010,45,37,46,37,54,55,71,74,47,36,48,50,601
1746,1981-2010,59,47,56,46,67,66,69,57,62,61,62,63,713
1747,1981-2010,123,92,101,65,81,74,91,68,98,105,104,132,1134
1750,1981-2010,52,41,53,45,63,71,69,60,62,54,57,60,685
1751,1981-2010,52,48,58,48,67,75,86,69,56,57,56,60,734
1753,1981-2010,54,52,63,54,71,85,92,83,64,63,66,67,815
1754,1981-2010,100,77,92,60,63,68,79,61,79,92,90,110,969
1757,1981-2010,46,36,42,35,53,66,59,71,55,44,47,47,601
1762,1981-2010,42,39,49,45,61,66,81,71,53,42,52,49,649
1763,1981-2010,39,35,47,44,60,66,80,71,52,41,51,45,630
1764,1981-2010,54,47,57,43,60,67,77,56,59,60,55,65,698
1767,1981-2010,64,49,56,48,56,71,72,68,61,56,55,68,722
1768,1981-2010,64,53,58,54,65,78,67,62,68,64,61,70,763
1769,1981-2010,54,40,48,39,53,64,67,76,58,48,51,54,653
1770,1981-2010,41,33,40,30,55,54,58,58,48,34,40,44,535
1772,1981-2010,47,37,46,39,55,58,60,54,49,37,46,57,584
1776,1981-2010,47,40,49,44,51,65,72,66,49,40,53,56,630
1779,1981-2010,48,40,45,35,54,72,61,65,57,46,47,50,619
1783,1981-2010,56,50,66,65,100,107,122,109,84,70,68,67,963
1784,1981-2010,37,32,44,42,47,57,70,59,49,30,43,45,554
1787,1981-2010,65,49,53,41,58,68,73,67,62,58,56,64,713
1789,1981-2010,32,26,36,36,58,59,57,50,44,33,40,41,513
1790,1981-2010,43,36,42,36,59,51,77,64,44,35,46,49,581
1791,1981-2010,83,59,71,48,66,75,79,67,76,72,77,84,857
1792,1981-2010,79,50,70,46,58,79,87,66,77,73,71,74,829
1799,1981-2010,49,39,44,38,54,64,66,71,54,47,50,51,628
1801,1981-2010,41,37,42,29,49,55,61,58,49,36,43,49,549
1802,1981-2010,44,40,44,39,60,53,65,60,49,35,48,52,588
1803,1981-2010,44,35,42,34,56,71,68,69,60,47,51,51,627
1804,1981-2010,37,29,39,32,57,55,59,57,46,34,41,45,530
1806,1981-2010,51,41,47,38,56,69,63,65,57,47,53,51,639
1809,1981-2010,42,32,44,35,55,57,55,55,47,39,46,48,554
1812,1981-2010,47,35,41,33,45,61,58,53,46,36,40,46,541
1813,1981-2010,80,59,67,42,57,78,82,77,80,86,80,79,866
1814,1981-2010,37,36,45,35,58,58,64,51,49,51,47,49,582
1819,1981-2010,50,39,50,40,55,58,59,54,53,39,56,57,610
1823,1981-2010,116,95,99,74,74,76,87,71,81,87,98,122,1079
1824,1981-2010,61,43,54,36,51,76,70,62,74,62,62,64,715
1825,1981-2010,47,35,41,33,55,70,55,55,51,41,41,50,575
1827,1981-2010,48,35,40,34,53,64,65,67,57,50,50,46,610
1830,1981-2010,63,50,56,42,60,56,67,56,57,58,57,71,692
1832,1981-2010,133,115,131,82,111,129,149,141,134,111,123,151,1509
1840,1981-2010,62,56,69,57,68,75,105,93,63,52,70,70,840
1841,1981-2010,74,55,64,45,51,78,79,80,98,91,86,80,881
1842,1981-2010,58,44,49,44,56,67,75,54,60,56,56,64,682
1846,1981-2010,48,41,54,43,70,88,90,81,61,55,57,62,747
1847,1981-2010,30,30,39,42,55,49,78,59,47,30,46,42,546
1849,1981-2010,53,43,52,44,68,79,82,80,60,61,57,62,740
1851,1981-2010,53,52,63,50,65,73,68,56,63,58,57,67,726
1853,1981-2010,49,45,54,46,66,63,78,57,52,55,52,61,678
1858,1981-2010,32,28,37,36,57,57,64,49,46,33,42,42,521
1870,1981-2010,35,31,36,35,53,56,49,46,44,46,39,46,515
1876,1981-2010,44,39,41,41,57,53,66,61,42,35,41,53,573
1880,1981-2010,42,34,45,37,56,52,61,47,49,34,47,52,556
1886,1981-2010,43,38,47,50,79,82,90,81,62,55,50,55,732
